2025-12-26 03:37:45 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for EN.PA (1h)
2025-12-26 03:37:46 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for CAP.PA (1d)
2025-12-26 03:37:46 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for CAP.PA (1h)
2025-12-26 03:37:46 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for CA.PA (1d)
2025-12-26 03:37:46 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for CA.PA (1h)
2025-12-26 03:37:46 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for SGO.PA (1d)
2025-12-26 03:37:46 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for SGO.PA (1h)
2025-12-26 03:37:46 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for SAN.PA (1d)
2025-12-26 03:37:46 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for SAN.PA (1h)
2025-12-26 03:37:46 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for SU.PA (1d)
2025-12-26 03:37:47 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for SU.PA (1h)
2025-12-26 03:37:47 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for GLE.PA (1d)
2025-12-26 03:37:47 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for GLE.PA (1h)
2025-12-26 03:37:49 | WARNING  | data.fetcher              | get_stock_data       | No data returned for STLA.PA
2025-12-26 03:37:51 | WARNING  | data.fetcher              | get_stock_data       | No data returned for STLA.PA
2025-12-26 03:37:52 | WARNING  | data.fetcher              | get_stock_data       | No data returned for STM.PA
2025-12-26 03:37:52 | WARNING  | data.fetcher              | get_stock_data       | No data returned for STM.PA
2025-12-26 03:37:53 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for TEP.PA (1d)
2025-12-26 03:37:53 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for TEP.PA (1h)
2025-12-26 03:37:53 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for HO.PA (1d)
2025-12-26 03:37:53 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for HO.PA (1h)
2025-12-26 03:37:53 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for TTE.PA (1d)
2025-12-26 03:37:53 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for TTE.PA (1h)
2025-12-26 03:37:54 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for URW.PA (1d)
2025-12-26 03:37:54 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for URW.PA (1h)
2025-12-26 03:37:54 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for VIE.PA (1d)
2025-12-26 03:37:54 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for VIE.PA (1h)
2025-12-26 03:37:54 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for DG.PA (1d)
2025-12-26 03:37:54 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for DG.PA (1h)
2025-12-26 03:37:54 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for VIV.PA (1d)
2025-12-26 03:37:55 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for VIV.PA (1h)
2025-12-26 03:37:55 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for WLN.PA (1d)
2025-12-26 03:37:55 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for WLN.PA (1h)
2025-12-26 03:37:55 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for MC.PA (1d)
2025-12-26 03:37:55 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for MC.PA (1h)
2025-12-26 03:37:55 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for OR.PA (1d)
2025-12-26 03:37:55 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for OR.PA (1h)
2025-12-26 03:37:56 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for RI.PA (1d)
2025-12-26 03:37:56 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for RI.PA (1h)
2025-12-26 03:37:56 | INFO     | data.fetcher              | get_stock_data       | Fetched 66 rows for KER.PA (1d)
2025-12-26 03:37:56 | INFO     | data.fetcher              | get_stock_data       | Fetched 267 rows for KER.PA (1h)
2025-12-26 03:37:56 | WARNING  | data.fetcher              | get_stock_data       | No data returned for HMC.PA
2025-12-26 03:37:56 | WARNING  | data.fetcher              | get_stock_data       | No data returned for HMC.PA
